"No.","Time","Source","Destination","Protocol","Length","Info"
"123","1.896545","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=33397 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"124","1.896558","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=34849 Win=1026 Len=0"
"125","1.896806","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=34849 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"126","1.896806","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=36301 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"127","1.896824","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=37753 Win=1026 Len=0"
"128","1.897063","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=37753 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"129","1.897297","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=39205 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"130","1.897307","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=40657 Win=1026 Len=0"
"131","1.933860","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=40657 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"132","1.934110","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [PSH, ACK] Seq=42109 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"133","1.934131","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=43561 Win=1026 Len=0"
"134","1.942160","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=43561 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"135","1.942392","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=45013 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"136","1.942392","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=46465 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"137","1.942411","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=47917 Win=1026 Len=0"
"138","1.942551","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=47917 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"139","1.942562","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=49369 Win=1026 Len=0"
"140","1.942791","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=49369 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"141","1.943073","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=50821 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"142","1.943082","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=52273 Win=1026 Len=0"
"143","1.943282","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=52273 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"144","1.943530","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=53725 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"145","1.943542","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=55177 Win=1026 Len=0"
"146","1.943987","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=55177 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"147","1.944191","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [PSH, ACK] Seq=56629 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"148","1.944201","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=58081 Win=1026 Len=0"
"149","1.944274","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=58081 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"150","1.944534","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=59533 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"151","1.944545","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=60985 Win=1026 Len=0"
"153","1.980331","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=60985 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"154","1.980574","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=62437 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"155","1.980574","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=63889 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"156","1.980604","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=65341 Win=1026 Len=0"
"157","1.980879","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=65341 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"158","1.980893","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=66793 Win=1026 Len=0"
"159","1.988569","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=66793 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"160","1.988851","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=68245 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
"161","1.988871","192.168.1.2","160.36.131.221","TCP","54","50572  >  80 [ACK] Seq=542 Ack=69697 Win=1026 Len=0"
"162","1.989081","160.36.131.221","192.168.1.2","TCP","1506","80  >  50572 [ACK] Seq=69697 Ack=542 Win=123 Len=1452 [TCP segment of a reassembled PDU]"
